;currencies;news_date;negative_norm;important_norm;disliked_norm;liked_norm;lol_norm;toxic_norm;saved_norm;comments_norm;attention_score
54;ADA;2021-04-17;0.02564;0.28205;0.0;0.4359;0.10256;0.0;0.0;0.15385;0.03561567150965418
55;ADA;2021-04-18;0.12632;0.12632;0.23158;0.16842;0.08421;0.0;0.0;0.26316;0.0940313733910987
56;ADA;2021-04-19;0.0;0.375;0.0;0.4375;0.0;0.0;0.125;0.0625;0.006602905329916559
57;ADA;2021-04-20;0.02778;0.29167;0.02083;0.49306;0.03472;0.0;0.00694;0.125;0.057365242015741766
58;ADA;2021-04-21;0.09756;0.17073;0.04878;0.34146;0.02439;0.0;0.04878;0.26829;0.057335229047262015
59;ADA;2021-04-22;0.0;0.18182;0.0;0.33333;0.12121;0.0;0.0;0.36364;0.03579574932053267
60;ADA;2021-04-23;0.01515;0.36364;0.01515;0.4697;0.01515;0.0;0.07576;0.04545;0.09139020980329998
61;ADA;2021-04-24;0.18447;0.17476;0.16505;0.08738;0.02913;0.0;0.0;0.35922;0.1170615059151592
62;ADA;2021-04-25;0.02381;0.28571;0.02381;0.52381;0.0;0.0;0.02381;0.11905;0.12278402826436646
63;ADA;2021-04-26;0.0625;0.25;0.0;0.375;0.0625;0.0;0.0;0.25;0.014326303269942041
64;ADA;2021-04-28;0.0;0.2;0.0;0.4;0.2;0.0;0.2;0.0;0.002851254454506874
65;ADA;2021-04-29;0.0;0.28571;0.0;0.64286;0.0;0.0;0.07143;0.0;0.026491656416672903
66;ADA;2021-04-30;0.0;0.31481;0.00926;0.47222;0.02778;0.0;0.10185;0.07407;0.13148785620823605
67;ADA;2021-05-01;0.01818;0.23636;0.00909;0.57273;0.02727;0.0;0.0;0.13636;0.09746288469374768
68;ADA;2021-05-03;0.0;0.0;0.0;0.25;0.0;0.0;0.75;0.0;0.004461963318553446
69;ADA;2021-05-06;0.14583;0.08333;0.27083;0.20833;0.11458;0.0;0.01042;0.16667;0.08263635900298744
70;ADA;2021-05-07;0.01935;0.32903;0.01935;0.45806;0.0;0.0;0.07097;0.10323;0.10716715485875593
71;ADA;2021-05-08;0.0;0.22727;0.0;0.5;0.0;0.0;0.0;0.27273;0.015276721702905205
72;ADA;2021-05-09;0.00784;0.28235;0.01176;0.43137;0.01961;0.0;0.03137;0.21569;0.09436151977130607
73;ADA;2021-05-10;0.0;0.33333;0.0;0.55556;0.0;0.0;0.11111;0.0;0.0049721879755055785
74;ADA;2021-05-13;0.0;0.2;0.05;0.475;0.025;0.0;0.0;0.25;0.03063347960924946
75;ADA;2021-05-14;0.05848;0.29825;0.01754;0.38596;0.03509;0.0;0.00585;0.19883;0.073492335885508
76;ADA;2021-05-15;0.00881;0.25551;0.01322;0.37885;0.02203;0.0;0.05286;0.26872;0.09502181253172082
77;ADA;2021-05-16;0.04167;0.27083;0.0625;0.48958;0.01042;0.0;0.01042;0.11458;0.034905359619726614
78;ADA;2021-05-17;0.08824;0.11765;0.125;0.25;0.10294;0.0;0.0;0.31618;0.07132138416672902
79;ADA;2021-05-18;0.05128;0.16239;0.03419;0.40171;0.13675;0.0;0.0;0.21368;0.09718276116998327
80;ADA;2021-05-19;0.0;0.33333;0.0;0.66667;0.0;0.0;0.0;0.0;0.007223178314404882
81;ADA;2021-05-20;0.05085;0.16949;0.11864;0.27119;0.11864;0.0;0.0;0.27119;0.038216815321526466
82;ADA;2021-05-21;0.07407;0.12963;0.09259;0.25926;0.09259;0.0;0.01852;0.33333;0.07651366870995706
83;ADA;2021-05-22;0.04459;0.26752;0.03185;0.4586;0.02548;0.0;0.01911;0.15287;0.21710551932093708
84;ADA;2021-05-23;0.19355;0.1129;0.16129;0.16935;0.06452;0.0;0.03226;0.26613;0.15819961431716037
85;ADA;2021-05-24;0.04167;0.27778;0.0;0.48611;0.04167;0.0;0.0;0.15278;0.07490295658484661
86;ADA;2021-05-25;0.08333;0.14583;0.04167;0.5;0.125;0.0;0.0;0.10417;0.03672615879726515
87;ADA;2021-05-26;0.0;0.21429;0.0;0.57143;0.0;0.0;0.07143;0.14286;0.011885229244450105
88;ADA;2021-05-27;0.02667;0.30667;0.01333;0.50667;0.02667;0.0;0.0;0.12;0.05029212863108554
89;ADA;2021-05-31;0.03488;0.33721;0.02326;0.5;0.02326;0.0;0.0;0.0814;0.04746088415189181
90;ADA;2021-06-01;0.04324;0.25405;0.04324;0.54054;0.01081;0.0;0.00541;0.1027;0.09692264380725192
91;ADA;2021-06-02;0.0303;0.19697;0.0303;0.59091;0.07576;0.0;0.01515;0.06061;0.04985193345747571
92;ADA;2021-06-03;0.08661;0.22047;0.07874;0.3937;0.08661;0.0;0.0;0.13386;0.1198827473138364
93;ADA;2021-06-04;0.0;0.66667;0.0;0.0;0.0;0.0;0.33333;0.0;0.0018308056064688773
94;ADA;2021-06-05;0.08696;0.10145;0.07246;0.26087;0.13043;0.0;0.02899;0.31884;0.058965943606475384
95;ADA;2021-06-06;0.04036;0.26906;0.03139;0.47534;0.02242;0.0;0.02691;0.13453;0.1582396266392265
96;ADA;2021-06-08;0.09091;0.14545;0.18182;0.32727;0.05455;0.01818;0.01818;0.16364;0.042988914579107876
97;ADA;2021-06-09;0.0;0.32584;0.03371;0.50562;0.04494;0.0;0.04494;0.04494;0.12730601696666322
98;ADA;2021-06-10;0.08333;0.20833;0.04167;0.45833;0.04167;0.0;0.04167;0.125;0.050322141599565294
99;ADA;2021-06-11;0.04693;0.213;0.06498;0.41155;0.06498;0.00361;0.00361;0.19134;0.21030253010645888
100;ADA;2021-06-12;0.07752;0.27907;0.0155;0.44961;0.03101;0.0;0.00775;0.13953;0.11678138239139478
101;ADA;2021-06-13;0.06404;0.24138;0.07389;0.38424;0.05911;0.0;0.0;0.17734;0.20448998003260282
102;ADA;2021-06-15;0.05;0.31667;0.0;0.46667;0.01667;0.0;0.0;0.15;0.07188163121425785
103;ADA;2021-06-16;0.0198;0.10891;0.0099;0.23762;0.0297;0.0;0.0099;0.58416;0.20004801597443833
104;ADA;2021-06-17;0.0;0.19048;0.09524;0.28571;0.09524;0.0;0.0;0.33333;0.05080235282217141
105;ADA;2021-06-18;0.0;0.3125;0.0;0.4375;0.0;0.0;0.0;0.25;0.03731641881327373
106;ADA;2021-06-19;0.0;0.26829;0.0;0.43902;0.02439;0.0;0.02439;0.2439;0.10034415202938438
107;ADA;2021-06-20;0.14844;0.20312;0.09375;0.28125;0.0625;0.0;0.02344;0.1875;0.15291728714156294
108;ADA;2021-06-22;0.10204;0.22449;0.08163;0.36735;0.06122;0.0;0.0;0.16327;0.10543639085972649
109;ADA;2021-06-24;0.08383;0.16168;0.05389;0.28743;0.03593;0.0;0.00599;0.37126;0.21710551932093708
110;ADA;2021-06-26;0.0625;0.15625;0.0;0.15625;0.0625;0.0;0.0;0.5625;0.08019528684096057
111;ADA;2021-06-27;0.17647;0.23529;0.0;0.35294;0.0;0.0;0.0;0.23529;0.05587458549148045
112;ADA;2021-06-28;0.22222;0.11111;0.0;0.55556;0.0;0.0;0.0;0.11111;0.008943935040121375
113;ADA;2021-06-29;0.33333;0.16667;0.05556;0.38889;0.0;0.0;0.0;0.05556;0.01719756659332967
114;ADA;2021-07-01;0.04545;0.14545;0.03636;0.30909;0.01818;0.0;0.0;0.44545;0.10949817822738034
115;ADA;2021-07-02;0.0;0.37234;0.01064;0.51596;0.0;0.0;0.0;0.10106;0.25338148955991757
116;ADA;2021-07-04;0.0;0.16667;0.0;0.83333;0.0;0.0;0.0;0.0;0.01498659416689172
117;ADA;2021-07-05;0.06849;0.20548;0.0411;0.45205;0.06849;0.0;0.09589;0.06849;0.239005169577144
118;ADA;2021-07-06;0.07619;0.25714;0.07619;0.38095;0.07619;0.0;0.01905;0.11429;0.23668414183517583
119;ADA;2021-07-07;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.005492416644706781
120;ADA;2021-07-08;0.28571;0.28571;0.14286;0.28571;0.0;0.0;0.0;0.0;0.045179879912780226
121;ADA;2021-07-09;0.44444;0.22222;0.11111;0.11111;0.0;0.0;0.11111;0.0;0.005212293586808636
122;ADA;2021-07-10;0.0;0.4;0.0;0.4;0.0;0.0;0.2;0.0;0.0058725840178920465
123;ADA;2021-07-12;0.21739;0.21739;0.0;0.26087;0.04348;0.0;0.0;0.26087;0.06277762041884456
124;ADA;2021-07-13;0.0;0.38462;0.0;0.38462;0.0;0.0;0.0;0.23077;0.08187602798354705
125;ADA;2021-07-20;0.13793;0.2069;0.10345;0.24138;0.0;0.0;0.0;0.31034;0.0806054653191605
126;ADA;2021-07-23;0.04;0.24;0.0;0.48;0.0;0.0;0.04;0.2;0.0821061286508685
127;ADA;2021-07-24;0.05229;0.28758;0.01961;0.4183;0.01961;0.0;0.0;0.20261;0.37108328058950973
128;ADA;2021-07-26;0.0;0.33333;0.0;0.5;0.0;0.0;0.08333;0.08333;0.052683181663599594
129;ADA;2021-07-28;0.15152;0.06061;0.18182;0.18182;0.15152;0.0;0.0;0.27273;0.04981191740847943
130;ADA;2021-07-29;0.19444;0.13889;0.02778;0.27778;0.11111;0.0;0.0;0.25;0.21018247823253988
